cfg_kind,cfg_n_steps,cfg_sigma,cfg_mu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_break_step,cfg_vol_mult,cfg_mean_shift,cfg_innov,cfg_t_dof,cfg_label,exp_id,ewma_lambda,n_test,method,family,aci_gamma,coverage,mean_width,median_width,width_vs_oracle,frac_unbounded,cov_vol_low,width_ratio_vol_low,cov_vol_mid,width_ratio_vol_mid,cov_vol_high,width_ratio_vol_high,vol_cov_spread,cov_pre_break,cov_post_break,hole_depth,recovery_steps,recovered,cov_post_0_60,cov_post_60_150,cov_post_150_300,cov_post_300_600
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_norm_g0.005,aci,0.005,0.9006666666666666,0.061283415638087715,0.05241957377019221,1.2979198679621229,0.0,,,,,,,,0.8988580750407831,0.9019165727170236,0.8166666666666667,60.0,1.0,0.9166666666666666,0.9111111111111111,0.9,0.9033333333333333
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_abs_g0.01,aci,0.01,0.8993333333333333,0.06006376180967237,0.051499327233578654,1.2720888512106265,0.0,,,,,,,,0.8988580750407831,0.8996617812852311,0.7999999999999999,79.0,1.0,0.8166666666666667,0.8888888888888888,0.9266666666666666,0.9133333333333333
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_norm_g0.01,aci,0.01,0.8993333333333333,0.06144975228262724,0.05295635346053758,1.3014427074362303,0.0,,,,,,,,0.9004893964110929,0.8985343855693348,0.8333333333333333,60.0,1.0,0.9166666666666666,0.8888888888888888,0.8933333333333333,0.9
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_abs_g0.02,aci,0.02,0.8986666666666666,0.060541591630909955,0.05201451038941131,1.2822087965829865,0.0,,,,,,,,0.9004893964110929,0.8974069898534386,0.8166666666666667,66.0,1.0,0.85,0.8888888888888888,0.9133333333333333,0.9066666666666666
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_norm_g0.02,aci,0.02,0.8993333333333333,0.060711919509394724,0.05353587717356752,1.285816166297148,0.0,,,,,,,,0.9021207177814029,0.8974069898534386,0.8333333333333333,60.0,1.0,0.9166666666666666,0.8777777777777778,0.8933333333333333,0.8966666666666666
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_abs_g0.05,aci,0.05,0.8986666666666666,0.06065714612517123,0.053455890927888716,1.2846561222154174,0.02266666666666667,,,,,,,,0.9021207177814029,0.8962795941375423,0.8333333333333333,66.0,1.0,0.85,0.9,0.9066666666666666,0.8966666666666666
break,2371,0.014563018237133997,-9.434685864400104e-05,0.0,0.0,0.0,1484,1.0,-0.026453313239595933,student_t,10.0,break,124,0.9273518474657817,1500,aci_norm_g0.05,aci,0.05,0.8986666666666666,0.06280098771623036,0.05587817329290288,1.3300604875861655,0.0006666666666666666,,,,,,,,0.9004893964110929,0.8974069898534386,0.8499999999999999,60.0,1.0,0.9166666666666666,0.8777777777777778,0.9,0.9
break,2371,0.007633192783157857,0.000387952393039273,0.0,0.0,0.0,1734,4.0,0.0,student_t,6.0,break,125,0.9188670428222779,1500,oracle,oracle,,0.894,0.05508002796522235,0.02422164818171607,1.0,0.0,,,0.9154113557358053,1.0,0.8649921507064364,1.0,0.05041920502936892,0.9154113557358053,0.8649921507064364,0.7666666666666666,60.0,1.0,0.9333333333333333,0.8777777777777778,0.8266666666666667,0.8666666666666667
break,2371,0.007633192783157857,0.000387952393039273,0.0,0.0,0.0,1734,4.0,0.0,student_t,6.0,break,125,0.9188670428222779,1500,split_abs,conformal,,0.8686666666666667,0.054925773224020626,0.026151950710043316,1.0054797077110307,0.0,,,0.9026651216685979,1.0163889320820552,0.8226059654631083,0.9907000206903173,0.08005915620548965,0.9026651216685979,0.8226059654631083,0.43333333333333335,151.0,1.0,0.45,0.7777777777777778,0.8333333333333334,0.8966666666666666
break,2371,0.007633192783157857,0.000387952393039273,0.0,0.0,0.0,1734,4.0,0.0,student_t,6.0,break,125,0.9188670428222779,1500,split_norm,conformal,,0.8973333333333333,0.06475345512740321,0.03242159523266176,1.1274968200318305,0.0,,,0.899188876013905,1.0640881481051918,0.8948194662480377,1.2134021322338542,0.004369409765867305,0.899188876013905,0.8948194662480377,0.8333333333333333,61.0,1.0,0.8666666666666667,0.9111111111111111,0.9266666666666666,0.88
